"","grid_label","row","col","lon","lat"
"239","L19","L",19,-2.42806803904544,52.7664320707635
"240","L20","L",20,-2.42799393846184,52.7664323382668
"241","M1","M",1,-2.42940140692086,52.7663823014544
"242","M2","M",2,-2.42932730643467,52.7663825697903
"243","M3","M",3,-2.4292532059473,52.7663828380799
"244","M4","M",4,-2.42917910545876,52.7663831063231
"245","M5","M",5,-2.42910500496905,52.7663833745202
"246","M6","M",6,-2.42903090447816,52.7663836426709
"247","M7","M",7,-2.4289568039861,52.7663839107754
"248","M8","M",8,-2.42888270349287,52.7663841788336
"249","M9","M",9,-2.42880860299846,52.7663844468455
"250","M10","M",10,-2.42873450250288,52.7663847148111
"251","M11","M",11,-2.42866040200612,52.7663849827304
"252","M12","M",12,-2.42858630150819,52.7663852506035
"253","M13","M",13,-2.42851220100909,52.7663855184303
"254","M14","M",14,-2.42843810050882,52.7663857862108
"255","M15","M",15,-2.42836400000737,52.766386053945
"256","M16","M",16,-2.42828989950476,52.7663863216329
"257","M17","M",17,-2.42821579900097,52.7663865892746
"258","M18","M",18,-2.42814169849601,52.76638685687
"259","M19","M",19,-2.42806759798988,52.7663871244191
"260","M20","M",20,-2.42799349748257,52.7663873919219
"261","N1","N",1,-2.42940096449314,52.7663373551175
"262","N2","N",2,-2.42932686408324,52.7663376234529
"263","N3","N",3,-2.42925276367217,52.766337891742
"264","N4","N",4,-2.42917866325993,52.7663381599849
"265","N5","N",5,-2.42910456284651,52.7663384281815
"266","N6","N",6,-2.42903046243192,52.7663386963318
"267","N7","N",7,-2.42895636201615,52.7663389644358
"268","N8","N",8,-2.42888226159921,52.7663392324936
"269","N9","N",9,-2.4288081611811,52.766339500505
"270","N10","N",10,-2.42873406076182,52.7663397684702
"271","N11","N",11,-2.42865996034136,52.7663400363891
"272","N12","N",12,-2.42858585991973,52.7663403042618
"273","N13","N",13,-2.42851175949692,52.7663405720881
"274","N14","N",14,-2.42843765907294,52.7663408398682
"275","N15","N",15,-2.42836355864779,52.766341107602
"276","N16","N",16,-2.42828945822147,52.7663413752895
"277","N17","N",17,-2.42821535779398,52.7663416429307
"278","N18","N",18,-2.42814125736532,52.7663419105257
